Candidate Number,Forvus index number,Surname,Forename,Gender,Date of birth,AGE,Pupil Inclusion Status Flag,Pupil included in progress 8 calculations,DfE Establishment Number,School URN,UPN,SEN,Has the pupil been eligible for FSM in the last 6 years?,Is the pupil looked after?,Has the pupil been adopted from care?,Is the pupil disadvantaged?,EAL Group,KS2 Prior Band,Student's ethnicity,Deprivation indicator - IDACI score,Did the pupil join within the last 2 yrs?,English Bacc?,English & maths GCSEs A*-C?,Entries,GCSE Entries,Entry English EBacc,Entry Maths EBacc,Entry Science EBacc,Entry Humanities EBacc,Entry Language EBacc,Entry ALL EBacc,Achieved English EBacc,Achieved Maths EBacc,Achieved Science EBacc,Achieved Humanities EBacc,Achieved Language EBacc,Entry triple science,Entry multiple languages,KS2 English level (finely graded),KS2 Mathematics level (finely graded),KS2 English TA level,KS2 Mathematics TA level,KS2 English PS,KS2 Maths PS,Prior attainment score in English and mathematics,Score achieved in English,Score achieved in mathematics,Score achieved in 1st EBacc slot,Score achieved in 2nd EBacc slot,Score achieved in 3rd EBacc slot,Score achieved in 1st open slot,Score achieved in 2nd open slot,Score achieved in 3rd open slot,Attainment 8 score,EBacc slots filled,Open slots filled,Pupil progress 8 score,Progress 8 score for English,Progress 8 score for mathematics,Score achieved in Ebacc slots,Progress 8 score for Ebacc slots,Score achieved in open slots,Progress 8 score for open slots,Total score achieved in open slots - GCSEs only,Total score achieved in open slots - non-GCSEs only,Entered all three core science pathway subjects,Science EBacc PS (VA),Humanities EBacc PS (VA),Language EBacc PS (VA),KS2-4 predicted PS for 'EBacc Science' VA,'EBacc Science' VA score,KS2-4 predicted PS for 'EBacc Humanities' VA,'EBacc Humanities' VA score,KS2-4 predicted PS for 'EBacc Language' VA,'EBacc Language' VA score,Pupil level Maths pathway flag,Pupil level English pathway flag,Pupil level Science pathway flag,Maths exclude previous school,English exclude previous school,Science exclude previous school
,,,,M,,15,401,1,797712383,,dccbeb50-f28a-4b4a-90de-f35a83187f7a,N,0,0,0,0,1,3,WBRI,0,0,,Y,9,8,1,1,1,1,,,1,1,,,,,,4.14,4.56,5,5,34,32,5,14,11,7,6,4,7,6,5,64,3,3,0,0,0,21,0,19,0,14,4,,4,5,2,5,-1,5,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,822399078,,85d128dc-4d36-4ef9-b6b0-fd53a8072da8,N,0,0,0,0,2,3,APKN,0,0,,,8,8,1,1,1,,,,,,,,,,,4.83,5.79,4,3,16,19,4,10,3,4,2,0,4,2,1,35,1,3,-1,0,-1,8,-1,8,-1,9,3,,2,0,1,4,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,676986506,,342ced10-0ea5-4ac7-bc0e-dc76aa54fbcd,N,0,0,0,0,1,3,APKN,0,0,,Y,9,9,1,1,1,1,1,,1,1,,1,,,,4.31,5.67,3,2,14,20,4,10,11,6,6,4,6,5,3,59,3,3,0,0,0,18,0,16,0,12,5,,5,7,3,,,5,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,646114788,,fbadf6ca-7d78-4dab-a520-f054151fd3c6,K,1,0,0,1,1,2,WBRI,0,0,Y,,9,9,1,1,1,1,1,1,1,,,1,1,,1,5.13,5.83,4,3,25,20,4,12,12,5,4,5,7,4,4,58,3,2,0,0,0,15,0,17,0,19,1,,3,7,4,,,4,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,684616138,,25e14dcf-6812-4651-a060-ea5c7512d3c5,K,0,0,0,0,2,2,AIND,0,0,,,7,5,1,1,1,,,,,,,,,,,4.21,4.25,4,,26,26,4,6,4,1,0,0,6,3,2,23,1,3,0,0,0,1,-1,13,0,4,8,,2,1,0,5,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,668688157,,70da7556-41c6-4f71-83ed-3857bce0c02f,N,0,0,0,0,1,3,WBRI,0,0,,,10,11,1,1,1,,1,1,1,,,,,,,5.26,5.63,5,5,30,31,5,12,6,4,5,3,4,4,5,49,3,3,-1,0,-1,12,-1,13,-1,12,2,,6,1,4,5,-1,6,0,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,649068089,,d7999333-5c56-4dd9-96ed-d2358eb14916,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,11,8,1,1,1,1,1,1,,1,1,1,1,1,,5,4.91,4,3,22,23,5,9,12,6,6,7,4,4,4,58,3,2,0,-1,0,19,0,13,-1,15,0,,5,7,4,5,0,4,-1,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,590909771,,4600cd46-cb72-4b40-9dc9-c55c53851744,K,0,0,0,0,1,2,WBRI,0,0,Y,Y,8,9,1,1,1,1,1,1,,1,1,1,1,1,,4.34,5.29,5,5,31,33,4,14,11,7,6,6,5,4,4,63,3,2,0,0,0,20,1,14,0,15,0,,5,7,5,6,1,5,0,5,2,0,0,0,0,0,0
,,,,F,,15,401,1,673434501,,233074a5-4962-4b46-868b-160f093269ef,N,1,0,0,1,1,2,APKN,0,0,,,7,9,1,1,1,1,,,1,,,,,,,5.77,5.38,,4,21,18,3,8,2,3,2,2,4,2,0,31,3,2,-1,0,-1,9,0,7,-2,16,0,,0,1,1,,,3,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,715060795,,8cf8ff93-d924-4553-a3af-b5adf4d0eca5,N,0,0,0,0,1,1,WBRI,0,0,,Y,7,5,1,1,1,,,,1,,,1,,1,,4.5,3.21,4,4,34,32,4,13,12,4,6,2,6,6,5,54,2,3,0,0,0,12,0,17,0,15,5,,7,2,0,4,1,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,565056671,,5221ce32-3dea-45bf-af34-3b8b635a114a,K,0,0,0,0,1,3,WBRI,0,0,Y,Y,7,10,,1,1,,1,1,1,1,,,1,1,,5,5.79,3,3,17,18,4,14,15,6,7,7,5,4,5,57,3,2,0,0,1,16,0,15,0,15,0,,7,5,9,6,0,,,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,692027233,,e507e744-7cf0-4aa2-9c1b-81159b5af174,N,0,0,0,0,1,3,APKN,0,0,,,7,6,1,1,,,,,,,,,,,,2.5,4.63,,3,9,10,4,8,14,2,3,2,4,3,3,36,1,2,-1,-1,0,5,-1,9,-1,2,5,,3,4,0,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,802826966,,8c9ff498-c0ce-422b-a612-354fffdb2eed,N,0,0,0,0,1,3,WBRI,0,0,,Y,9,8,1,1,1,,,,1,1,,,,,,4.97,5.79,5,4,27,27,5,9,15,3,4,3,6,5,7,56,2,3,0,0,0,8,-1,16,0,10,4,,4,1,1,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,680451390,,978e500f-d8cc-4572-bbd4-acaba0220e74,N,0,0,0,0,2,2,APKN,0,0,Y,Y,9,10,1,1,1,1,1,1,1,1,1,1,1,1,,4.38,5.54,3,4,13,18,4,15,12,7,6,4,7,7,7,72,3,3,1,0,2,20,1,21,1,22,1,,5,5,5,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,739837071,,deea77f6-e1aa-4762-a765-de4a2ccd21c1,N,0,0,0,0,1,2,AIND,0,0,,Y,9,7,1,1,1,1,,,1,,,,1,1,,5.58,3.5,3,,18,11,4,12,9,7,5,3,7,6,6,61,3,3,1,1,0,18,1,19,1,15,7,,4,4,1,4,0,4,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,615140768,,91f473c9-fa0f-4f55-a150-0aa0bb5d4314,N,1,0,0,1,1,2,WBRI,0,0,,Y,6,8,1,1,1,,,,1,1,,,,,,4.62,3.93,4,,22,19,3,7,3,2,3,1,2,3,1,21,2,2,0,0,0,7,0,7,0,8,0,,2,2,0,3,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,725971732,,049ea3c8-f2b7-4b94-9c42-70cd463d47ab,N,1,0,0,1,1,3,WBRI,0,0,Y,,8,8,1,1,1,1,1,1,1,,,,1,,,5.13,4.31,4,4,27,25,4,9,8,3,5,4,6,5,6,45,3,2,0,0,-1,13,0,17,0,9,7,,6,5,4,4,-1,4,0,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,821651707,,8d8132ec-921c-4685-8c71-b5bc95a3aecc,N,1,0,0,1,1,2,WBRI,0,0,Y,,10,8,1,1,1,,,,1,1,,,,,,4.69,4.47,4,4,16,17,3,6,11,6,4,2,6,5,3,51,3,3,0,0,1,18,0,15,0,15,7,,2,0,0,3,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,796712559,,ef8c301e-0114-4907-ad15-8cad47b5a366,N,0,0,0,0,1,4,WBRI,0,0,Y,Y,12,12,1,1,1,,1,1,1,1,1,,1,1,,,,4,3,17,18,5,15,16,7,7,6,8,8,7,77,2,3,0,0,1,22,0,24,0,23,3,,7,1,8,7,0,,,6,0,0,0,0,0,0,0
,,,,F,,15,401,1,715448608,,9e958ecb-4ab8-43bb-8668-0a81b187ba02,N,1,0,0,1,1,3,AIND,0,0,Y,Y,9,9,1,1,1,1,1,1,1,1,1,1,1,1,,5.39,5.71,4,5,25,24,5,13,8,7,5,4,7,5,6,64,3,3,0,0,0,20,0,18,0,18,1,,6,5,6,6,-1,,,6,-2,0,0,0,0,0,0
,,,,M,,15,401,1,680374718,,385ff64c-7ec5-4dd8-ae45-6c4a1d693360,N,0,0,0,0,1,2,WBRI,0,0,,Y,9,10,1,1,1,1,,,1,1,1,,,,,5.16,5.79,3,3,17,14,3,11,5,6,4,3,5,4,3,44,3,2,0,1,0,18,1,14,0,9,2,,4,2,1,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,646290649,,505a5e18-5004-4b71-9570-dbc259f7c90c,N,0,0,0,0,1,3,APKN,0,0,,Y,8,8,1,1,,1,,,1,1,,,,,,3.72,5.83,,3,15,17,3,11,11,3,3,1,4,4,5,55,2,3,-1,-1,0,7,-2,14,-1,11,2,,1,3,0,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,666078672,,04f56c66-3007-4443-b03f-6086315851cc,K,0,0,0,0,1,2,WBRI,0,0,Y,Y,9,9,1,1,1,1,1,1,,1,1,1,1,,1,3.83,5.5,,3,17,19,4,15,15,7,7,7,5,6,7,69,2,3,0,0,1,20,1,18,0,20,0,,7,8,6,4,1,5,2,,,0,0,0,0,0,0
,,,,M,,15,401,0,647979270,,5f049d55-7b53-4c7f-8579-104b2679ad02,N,0,0,0,0,1,3,WBRI,0,0,,,6,5,1,1,1,,1,1,,,1,1,,1,,5.23,4.97,3,6,6,11,,11,13,4,4,4,4,2,2,50,2,1,,,,11,,10,,3,7,,6,5,4,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,662562354,,0d044833-607a-4be9-8fc8-79ad0c1a6e84,K,0,0,0,0,1,3,WBRI,0,0,Y,,6,8,1,1,1,,1,1,,,,,,1,1,4.62,4.19,3,3,18,12,4,7,8,5,5,2,5,3,2,32,2,2,-1,-1,-1,10,-1,11,-1,6,3,,4,3,4,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,803345065,,6566ef36-6eff-488b-ba98-2299d16c1324,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,12,10,1,1,1,1,1,1,1,1,1,1,1,1,,5.32,5.04,4,3,29,30,5,16,15,7,7,7,8,9,7,77,3,3,2,2,1,22,2,25,2,23,7,,7,5,6,6,1,,,6,0,0,0,0,0,0,0
,,,,F,,15,401,1,759926236,,81ee4064-a239-4d0f-91e6-b358e7d356ca,N,0,0,0,0,1,4,AIND,0,0,,Y,12,12,1,1,1,1,1,1,1,1,1,1,,1,,4.55,5.71,5,5,29,30,5,10,16,8,6,7,8,7,7,76,3,3,0,0,1,23,1,22,0,23,0,,7,6,3,6,0,6,0,6,0,0,0,0,0,0,0
,,,,F,,15,401,1,660155238,,7545ee90-8133-4099-a4d5-28c231509bca,N,0,0,0,0,1,2,OOTH,0,0,Y,Y,8,10,1,1,1,,1,1,1,1,1,1,1,,,5.68,4.75,4,5,32,29,5,15,13,4,6,5,7,7,6,60,2,2,0,1,0,12,0,20,0,20,1,,6,6,6,5,1,,,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,745045918,,248587db-a693-4cd0-8b6f-d29abf6ba1e9,N,0,0,0,0,1,2,WBRI,0,0,,Y,12,11,1,1,1,1,1,,1,1,1,1,1,1,,5.42,5.67,6,5,35,35,5,15,16,8,7,7,9,9,6,79,3,3,1,2,1,23,1,25,1,21,4,,7,5,3,7,1,6,0,6,1,0,0,0,0,0,0
,,,,F,,15,401,1,820473369,,83f0d140-3c77-4765-85dc-de2106296981,N,0,0,0,0,1,3,APKN,0,0,,Y,12,10,1,1,1,,1,,1,1,,,1,1,,5.55,5.46,4,4,25,27,5,14,9,5,5,2,8,8,7,66,2,3,0,0,0,15,0,23,1,21,4,,5,1,6,5,0,,,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,783282776,,f1eaf0fd-fe58-4a93-aeb7-eabdb40558de,N,0,0,0,0,1,3,WBRI,0,0,,Y,11,10,1,1,1,1,,,1,1,1,1,1,1,,5.06,4.84,3,6,23,21,5,13,14,6,6,6,8,8,7,73,3,3,1,1,0,20,1,24,1,23,2,,6,3,2,5,0,4,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,632319382,,ee996592-b483-44f5-8fef-d95effa21031,K,1,0,0,1,1,1,WBRI,0,0,,,7,8,1,1,1,,1,,1,,,,,,,4.21,3.79,4,4,29,25,3,7,7,0,2,3,5,4,4,23,2,2,0,0,1,0,0,13,0,3,10,,3,1,4,3,1,,,4,0,0,0,0,0,0,0
,,,,M,,15,401,0,573283917,,fafd214b-94e3-4fe1-a54e-cb8844c41654,N,0,0,0,0,2,3,MOTH,0,0,Y,,5,10,1,1,,1,,,1,1,,1,,,,4.72,5.33,,3,11,7,,9,6,3,1,2,2,2,0,18,2,2,,,,5,,4,,10,0,,0,5,3,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,611682545,,9f1a2060-9cf5-4e2b-b109-7fa797c9d540,N,1,0,0,1,1,2,WBRI,0,0,,,6,8,1,1,,,,,,,,,,,,5.71,4.56,3,3,24,28,4,8,8,2,3,1,3,1,2,27,2,2,0,0,0,4,0,6,0,5,1,,2,1,0,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,773120637,,6c77814c-c3e3-4cdd-a708-14124cd29027,S,0,0,0,0,1,1,WBRI,0,0,,,6,7,1,1,1,,1,1,,,1,,1,,,4.41,4.13,5,5,32,28,3,11,6,2,3,2,5,2,3,37,2,2,-1,0,0,5,-1,11,-1,12,0,,4,0,5,4,0,,,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,805178298,,f20f2ab1-2521-4b09-92da-79830618e400,K,0,0,0,0,1,3,WBRI,0,0,,Y,13,10,1,1,1,1,,,1,1,1,1,,,1,5.03,5.58,5,4,24,27,4,14,15,9,7,7,7,7,6,77,3,3,2,1,2,24,2,23,1,21,5,,6,7,1,5,0,4,0,5,1,0,0,0,0,0,0
,,,,F,,15,401,1,683286373,,418880d4-6b5c-4689-8d9c-ece5f24e0c1d,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,10,12,1,1,1,1,1,1,1,1,1,1,1,1,,5.16,5.71,5,4,26,25,4,15,9,7,7,5,7,6,7,73,3,3,1,2,0,22,1,22,1,25,0,,6,6,9,6,1,6,0,5,0,0,0,0,0,0,0
,,,,F,,15,401,0,781406848,,5548560a-95b4-4d34-ad7a-d8562148fa2e,N,0,0,0,0,1,4,APKN,0,0,Y,Y,10,10,1,1,1,1,1,1,1,1,1,1,1,1,,,5.67,4,4,14,15,,15,14,8,7,6,7,7,7,73,3,3,,,,23,,23,,23,0,,7,5,7,5,0,,,5,1,0,0,0,0,0,0
,,,,M,,15,401,1,760902428,,ff92c5f3-3b04-450a-8331-da376bacbeba,N,0,0,0,0,1,3,WBRI,0,0,,Y,9,10,1,1,1,1,,,1,1,1,1,,,,5,,4,5,24,30,5,11,14,7,7,6,5,5,6,63,3,2,0,0,0,21,0,16,0,19,0,,5,3,2,6,0,6,0,5,0,0,0,0,0,0,0
,,,,M,,15,401,0,780014228,,e4b17ecd-41a8-433f-9e38-9ac6b84878d7,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,9,7,1,1,1,1,,,,1,1,1,,,,5,4.91,4,3,9,10,,12,12,5,6,5,5,6,4,65,3,3,,,,19,,16,,17,2,,6,5,1,4,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,748541328,,b078c7c4-9110-45d7-8d37-22f65101403e,N,0,0,0,0,1,2,WBRI,0,0,,,8,6,1,1,1,1,,,,1,1,1,,1,,4.52,4.78,5,5,32,31,5,12,10,6,6,2,6,6,6,60,2,3,1,1,1,17,1,19,1,11,8,,6,5,1,5,0,5,1,,,0,0,0,0,0,0
,,,,M,,15,401,1,804529899,,7046ae88-67e6-4d45-86bb-ce841d73feab,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,12,11,1,1,1,1,1,,1,1,1,1,1,,,4.14,5.79,5,5,32,29,5,16,16,7,7,5,7,7,6,77,3,2,0,0,0,23,0,20,0,22,0,,6,5,3,6,0,5,1,6,0,0,0,0,0,0,0
,,,,M,,15,401,1,679036272,,cc5a56ff-751b-4af7-8612-1e2c71361e7c,K,0,0,0,0,2,3,APKN,0,0,,,6,7,1,1,1,,,,,,,,,,,4.1,4.97,3,3,19,23,4,14,9,3,4,4,4,3,5,36,2,2,-1,-1,-1,8,-1,9,-1,4,3,,5,4,0,6,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,657179774,,aed45559-3996-4f41-9421-232e26913e6d,N,0,0,0,0,1,2,WBRI,0,0,Y,Y,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,,5.38,4,3,16,18,4,13,12,7,7,7,7,6,6,72,3,3,1,1,1,21,2,21,1,24,0,,7,5,7,5,1,,,5,1,0,0,0,0,0,0
,,,,M,,15,401,1,761920357,,15289689-290f-489f-b5f6-15f29884c71d,N,0,0,0,0,1,2,WBRI,0,0,,Y,13,10,1,1,1,1,,,1,1,1,,,,,5.39,5,5,5,30,30,4,12,13,8,6,1,8,5,3,69,2,3,0,0,1,22,0,21,0,20,4,,5,1,1,4,0,4,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,796484828,,5df3ddc6-61be-4c20-9fee-dcfb4366e082,N,0,0,0,0,1,2,WBRI,0,0,,Y,12,10,1,1,1,1,,1,1,1,1,1,,,,4.38,5.21,5,4,32,32,5,14,13,8,6,3,8,8,7,74,3,3,0,0,0,22,0,23,1,25,1,,4,7,1,5,0,5,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,803944756,,173d57e6-8e44-4939-a106-da49199e4a5a,N,0,0,0,0,1,3,WBRI,0,0,,Y,12,10,1,1,1,1,1,,1,1,1,1,1,1,,4.62,5.42,5,5,30,32,5,13,15,7,7,8,8,7,6,76,3,3,1,0,1,22,1,23,1,22,3,,7,5,7,7,1,6,0,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,787635901,,4a7707da-969c-47e3-9f45-fd87d261ae2d,N,0,0,0,0,1,3,APKN,0,0,Y,Y,13,11,1,1,1,1,1,1,1,1,1,1,1,1,1,4.79,5.21,4,4,26,27,5,14,14,9,7,7,9,8,6,78,3,3,1,0,0,25,1,26,1,25,6,,7,7,7,5,0,6,1,5,2,0,0,0,0,0,0
,,,,F,,15,401,1,655397728,,0ee5f460-03bc-4172-ae29-2e0b0e11d60f,K,0,0,0,0,1,1,WBRI,0,0,,,8,9,1,1,1,1,,,,,,,,,,5.77,4.56,,5,24,21,4,13,7,2,4,3,2,2,1,32,2,2,0,0,0,6,0,7,-1,8,0,,3,7,0,4,0,5,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,758573149,,66b938e9-6d09-4240-83fc-94edc3870238,N,0,0,0,0,1,2,APKN,0,0,,Y,9,10,1,1,1,,1,1,1,1,1,,1,,,5.03,5.17,,4,18,24,4,11,6,5,5,4,6,5,4,50,2,2,0,-1,0,14,0,17,0,14,2,,5,2,8,5,0,,,6,-1,0,0,0,0,0,0
,,,,M,,15,401,1,791398021,,769d89af-1cf1-47c3-9597-7f44a2b41ab1,N,0,0,0,0,1,2,WBRI,0,0,Y,Y,11,10,1,1,1,,1,,1,1,1,1,1,,,4.66,4.28,5,5,33,33,5,14,15,8,7,5,8,8,6,73,2,3,1,1,1,23,0,24,1,21,6,,7,4,5,6,0,,,5,1,0,0,0,0,0,0
,,,,F,,15,401,1,769320586,,0969b1b9-a98c-45af-85b5-5c83b2df6bbf,N,0,0,0,0,1,4,WBRI,0,0,Y,Y,12,11,1,1,1,1,1,1,1,1,1,1,1,1,,5.42,5.54,5,W,31,30,5,16,15,8,7,6,8,8,7,79,3,3,1,1,0,24,1,25,1,25,0,,5,8,9,,,5,0,5,0,0,0,0,0,0,0
,,,,F,,15,401,0,813005134,,385ff64c-7ec5-4dd8-ae45-6c4a1d693360,K,0,0,0,0,2,4,APKN,0,0,,Y,11,10,1,1,1,1,,,1,1,1,1,,,,,,4,,7,9,,13,15,7,6,5,9,8,7,78,2,3,,,,22,,24,,24,3,,6,3,1,4,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,556607789,,fa8b4eab-468a-49da-bf17-e0af08a80f7f,K,0,0,0,0,1,3,APKN,0,0,,,5,5,1,1,1,,,,,,,,,,,5.48,5.33,6,4,13,14,3,6,4,1,0,1,2,1,1,21,2,2,-1,-1,-2,2,-1,5,-2,7,1,,1,0,1,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,596467414,,75ef1121-5c3e-4118-bbb9-e3841735d123,K,0,0,0,0,2,3,WBRI,0,0,,Y,6,7,1,1,1,,1,,,1,,,,,,5.03,5.58,4,4,28,26,3,7,2,5,1,1,3,0,0,27,2,2,-1,-1,0,11,0,6,-2,12,0,,1,1,3,3,0,,,4,0,0,0,0,0,0,0
,,,,M,,15,401,1,689091839,,263d50c2-07a2-44db-a27b-4417dbc72abf,N,1,0,0,1,1,2,WBRI,0,0,,Y,8,10,1,1,1,1,,,1,1,1,1,,,,5.39,4.44,5,4,34,34,5,11,5,5,2,1,3,2,2,33,2,2,0,0,0,11,0,10,-1,14,0,,2,4,0,5,0,5,0,,,0,0,0,0,0,0
