Candidate Number,Forvus index number,Surname,Forename,Gender,Date of birth,AGE,Pupil Inclusion Status Flag,Pupil included in progress 8 calculations,DfE Establishment Number,School URN,UPN,SEN,Has the pupil been eligible for FSM in the last 6 years?,Is the pupil looked after?,Post Looked After Arrangements,Is the pupil disadvantaged?,EAL Group,KS2 Prior Band,Student's ethnicity,Deprivation indicator - IDACI score,Did the pupil join within the last 2 yrs?,English Bacc 9-4?,English Bacc 9-5?,English and maths GCSEs 9-4?,English and maths GCSEs 9-5?,Entries,GCSE Entries,Entry English EBacc,Entry Maths EBacc,Entry Science EBacc,Entry Humanities EBacc,Entry Language EBacc,Entry ALL EBacc,Achieved English EBacc 9-4,Achieved English EBacc 9-5,Achieved Maths EBacc 9-4,Achieved Maths EBacc 9-5,Achieved Science EBacc,Achieved Humanities EBacc,Achieved Language EBacc,Entry triple science,Entry multiple languages,Entered all three core science pathway subjects,KS2 Reading TA level,KS2 Mathematics TA level,KS2 Reading PS,KS2 Maths PS,Prior attainment score in English and mathematics,Score achieved in English,Score achieved in mathematics,Score achieved in 1st EBacc slot,Score achieved in 2nd EBacc slot,Score achieved in 3rd EBacc slot,Score achieved in 1st open slot,Score achieved in 2nd open slot,Score achieved in 3rd open slot,Attainment 8 score,EBacc slots filled,Open slots filled,Pupil progress 8 score,Progress 8 score for English,Progress 8 score for mathematics,Score achieved in Ebacc slots,Progress 8 score for Ebacc slots,Score achieved in open slots,Progress 8 score for open slots,Total score achieved in open slots - GCSEs only,Total score achieved in open slots - non-GCSEs only,Science EBacc PS (VA),Humanities EBacc PS (VA),Language EBacc PS (VA),KS2-4 predicted PS for 'EBacc Science' VA,EBacc Science' VA score,KS2-4 predicted PS for 'EBacc Humanities' VA,EBacc Humanities' VA score,KS2-4 predicted PS for 'EBacc Language' VA,EBacc Language' VA score,Pupil level Maths pathway flag,Pupil level English pathway flag,Pupil level Science pathway flag,Maths exclude previous school,English exclude previous school,Science exclude previous school
,,,,M,,15,401,1,807284715,,8315f119-32c8-49ef-be1d-f0cb8550f045,N,0,0,0,0,2,3,APKN,0,0,Y,Y,Y,Y,13,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,5,4,5,5,16,10,9,7,7,10,10,7,83,3,3,2,1,1,26,2,29,2,28,5,7,3,3,4,2,2,-1,4,1,0,0,0,0,0,0
,,,,M,,15,401,1,678437468,,40ebf965-4f2a-4ffd-aea3-2802176291af,K,0,0,0,0,1,2,APKN,0,0,,,,Y,7,6,1,1,,,,,,,,1,,,,,,,5,4,4,4,4,5,1,0,0,0,5,2,1,12,2,2,-2,-2,-2,0,-2,8,-1,1,7,0,1,1,,,4,-1,4,0,0,0,0,0,0,0
,,,,M,,15,401,1,754965836,,d8f8ac6c-3c87-4426-ba85-ce228fd116e5,N,0,0,0,0,1,2,APKN,0,0,,,Y,Y,8,7,1,1,1,1,,,1,,1,1,,1,,,,,5,5,5,5,4,8,7,4,4,3,6,5,2,38,2,2,0,0,0,13,0,14,1,3,10,3,8,1,4,0,3,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,655269166,,4c442d62-296c-4d40-b7da-aca458aceda1,K,0,0,0,0,1,3,WBRI,0,0,Y,Y,Y,Y,10,12,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,4,5,5,5,5,15,16,7,8,7,9,8,8,81,3,3,2,0,2,24,2,26,2,27,0,7,7,8,6,2,,,5,1,0,0,0,0,0,0
,,,,F,,15,401,1,611233102,,cd3d8008-a227-4bbe-ae6e-eec25bee2355,K,0,0,0,0,1,2,WBRI,0,0,Y,Y,Y,Y,10,11,1,1,,1,1,,1,1,1,1,1,,1,,,,4,4,5,4,3,18,13,9,7,5,6,5,5,71,3,3,2,3,3,24,3,18,2,10,1,4,4,4,4,3,3,1,4,1,0,0,0,0,0,0
,,,,F,,15,401,1,736479357,,283b91b2-0f51-4ff0-929e-371362918e39,N,0,0,0,0,1,1,AIND,0,0,,,Y,,6,7,1,1,1,,,,,,,,,,,,,,4,4,5,5,5,7,3,3,3,1,3,2,1,21,2,2,-1,-1,0,6,0,6,-2,2,5,5,1,3,4,0,4,-1,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,578664994,,5a94be60-b086-48d0-808c-b977b7385b19,N,0,0,0,0,1,3,WBRI,0,0,,,,Y,7,9,,1,1,1,,,,,1,1,1,1,1,1,,,3,5,5,5,5,1,8,5,2,0,3,3,2,34,2,2,-1,-2,0,10,0,10,-2,14,0,3,4,3,4,0,6,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,694518755,,38c83119-bc04-43f4-8608-7a8c2cd3667a,N,0,0,0,0,1,2,AIND,0,0,Y,Y,,Y,8,9,1,1,1,1,,,,,1,1,1,,1,1,,,3,,3,5,4,11,14,6,6,6,4,4,5,50,3,3,1,0,2,18,2,13,0,8,1,5,4,5,4,2,2,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,691466067,,fda84783-410a-48c3-b4c3-7417b337f799,K,0,0,0,0,1,2,WBRI,0,0,,,,,6,6,1,1,1,,1,,,,,,,,,,,,4,,4,4,5,6,2,0,0,1,0,0,0,4,2,2,-2,-1,-2,0,-2,1,-3,0,5,0,0,3,4,-3,,,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,661192121,,6d967e9e-766d-488a-998b-a7e8cd7b4eac,K,0,0,0,0,1,3,WBRI,0,0,,,Y,Y,8,11,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,5,4,4,5,5,7,13,1,7,5,3,3,4,29,2,2,-1,-2,0,6,0,10,-2,5,4,5,6,8,7,0,7,-1,6,-1,0,0,0,0,0,0
,,,,F,,15,401,1,819913095,,22761a29-d46c-452f-a792-d77c2ec626f7,N,1,0,0,1,2,1,WOTH,0,0,,Y,,Y,11,9,1,1,1,,,,1,,,1,,,,,,,4,,5,4,4,17,13,6,4,1,6,6,5,60,2,3,0,1,0,13,-1,18,0,17,2,2,1,0,3,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,787255960,,0aa3257d-e573-4480-9545-f3d3838f8ce0,N,0,0,0,0,1,1,WBRI,0,0,,,,,9,9,1,1,1,1,,,1,,,,,,,,,,5,5,5,4,3,9,3,3,1,0,3,3,3,28,3,3,1,3,1,6,0,9,0,6,6,1,3,1,1,0,1,-1,3,0,0,0,0,0,0,0
,,,,M,,15,401,1,736481205,,cef97763-dd4d-4c3d-906c-c0bffde81bac,N,0,0,0,0,2,2,WBRI,0,0,,,,,8,9,1,1,,1,,,,,,,,,,,,,4,2,3,3,4,7,8,4,1,0,2,2,0,19,2,3,-2,-1,0,5,-2,5,-3,7,3,0,1,1,,,4,-2,,,0,0,0,0,0,0
,,,,F,,15,401,1,698099089,,0c09d9dc-c18b-4ef9-bd34-1aa9d6f8ffcc,N,1,0,0,1,1,1,WBRI,0,0,,,,,7,8,1,1,,1,,1,1,1,,,,,,,,,,4,5,5,4,14,6,2,3,2,4,3,5,34,2,3,1,1,0,6,1,11,1,9,0,2,6,1,3,2,3,1,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,594345234,,28336d0c-d704-412f-9f0f-86dd6f57bffd,K,0,0,0,1,1,2,APKN,0,0,Y,,Y,Y,8,8,1,1,1,,1,1,1,,1,,,1,,,,,,4,4,4,4,16,11,3,2,1,5,4,3,53,2,3,1,2,1,10,0,13,0,10,2,3,2,3,5,0,,,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,730163549,,a7707c8c-ff5f-4a00-958e-61297da3c285,N,1,0,0,1,1,2,APKN,0,0,,,Y,Y,9,9,1,1,1,,1,,1,,1,,1,,,1,,,4,4,5,5,5,13,13,4,6,5,4,4,4,55,3,3,0,-1,0,14,0,13,-1,14,0,6,1,4,5,0,5,0,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,610515459,,aab7a8df-6637-4884-8ec4-b4a4721bd4ae,K,0,0,0,0,1,4,WBRI,0,0,Y,,Y,Y,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,4,4,3,3,4,14,6,8,6,4,6,5,4,61,3,3,0,0,0,21,0,16,0,12,0,4,5,6,,,,,5,0,0,0,0,0,0,0
,,,,M,,15,401,0,805308675,,8ba76249-6fdf-4f9c-8307-beb195d885db,N,0,0,0,0,1,4,WBRI,0,0,,,Y,,10,11,1,1,1,,,,1,1,1,,,1,,,,,,2,2,2,,13,5,5,4,1,7,7,7,53,2,3,,,,13,,21,,20,4,1,6,1,3,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,0,622399705,,649bbf2f-ecac-4c43-992e-b0f1d08438ea,K,0,0,0,0,1,3,AIND,0,0,,,Y,,5,6,1,1,,,,,1,1,,,,1,,,,,,6,1,1,,7,1,1,3,1,3,0,0,17,2,1,,,,3,,5,,1,3,0,2,0,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,646979032,,b91333e7-4091-47b6-a1d0-b5ea8cedbf0e,N,0,0,0,0,1,2,WBRI,0,0,Y,,Y,Y,8,9,1,1,1,1,1,1,1,,1,1,1,,1,,,,5,,5,5,5,13,11,5,5,5,5,4,5,41,3,3,0,0,0,15,0,13,-1,17,1,4,4,8,6,0,5,0,6,0,0,0,0,0,0,0
,,,,M,,15,401,1,663845955,,c7002137-54e6-4f86-b635-81b04baf528e,N,0,0,0,0,1,3,WBRI,0,0,,,,,8,10,1,1,1,,,1,1,1,,,1,1,,,1,,4,3,4,4,5,10,2,2,4,3,3,3,4,33,2,2,0,0,-3,7,0,10,0,7,1,6,2,3,5,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,736455728,,e4ce603e-8c91-49a1-84c7-f71a36092dab,N,1,0,0,1,1,1,APKN,0,0,,,,Y,7,6,,1,1,,1,,,,,,,,,1,,,6,6,3,3,3,4,8,3,2,1,5,4,2,20,2,3,0,-2,0,4,0,12,1,3,7,1,2,4,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,823326591,,d0005d79-8bf5-4b4c-b3b0-36e759d37703,N,0,0,0,0,1,4,APKN,0,0,,Y,Y,Y,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,4,5,2,3,5,10,15,6,6,6,8,7,4,66,3,3,0,-1,0,20,0,22,0,27,0,6,4,7,5,0,,,4,0,0,0,0,0,0,0
,,,,M,,15,401,1,590515569,,9559efb9-a2f2-4883-9947-1e30e19b61ec,N,0,0,0,1,1,2,APKN,0,0,Y,Y,Y,Y,10,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,5,5,5,5,17,15,7,7,7,7,7,7,79,3,3,2,3,2,23,3,20,1,26,0,6,8,5,5,2,5,2,5,2,0,0,0,0,0,0
,,,,F,,15,401,1,769146006,,d46c2b47-3c1a-4462-aaa2-f662a9013d39,N,0,0,0,0,1,2,APKN,0,0,Y,Y,,,7,8,1,1,1,1,1,1,1,,1,1,1,1,1,,,,5,4,5,5,5,4,9,5,3,4,6,5,3,44,3,2,0,-1,0,11,0,17,0,19,1,3,5,9,5,0,5,0,4,0,0,0,0,0,0,0
,,,,M,,15,401,0,749636810,,8ee9d9b7-fa0f-404a-a812-17955259a2fc,N,0,0,0,0,1,4,WBRI,0,0,Y,Y,Y,Y,11,11,1,1,1,1,,1,1,1,1,1,1,1,,,,,4,4,1,2,,17,11,6,6,3,8,7,6,75,2,3,,,,20,,21,,15,1,6,5,1,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,677531620,,b6c75b8a-af6c-4468-b1cc-89635161b54d,N,0,0,0,0,2,3,AIND,0,0,,,Y,,9,7,1,1,1,1,1,,1,1,1,,,,,,,,4,4,3,3,3,13,11,7,7,6,6,6,5,55,3,3,1,1,1,21,2,18,1,8,8,6,3,4,2,1,2,0,3,1,0,0,0,0,0,0
,,,,M,,15,401,1,771590311,,a77687ee-0462-4c3c-9293-0004da28e8e4,N,0,0,0,0,2,2,AIND,0,0,,,,,7,7,1,1,1,1,,1,,,1,,,1,,,,,4,5,3,4,5,6,10,2,3,2,4,3,5,35,2,3,-1,-2,0,6,-1,10,-1,10,3,6,4,1,4,-1,5,-1,,,0,0,0,0,0,0
,,,,M,,15,401,1,782275998,,0a0a85d2-5dc8-4e3f-a537-3124a97e51bf,N,0,0,0,0,2,4,WBRI,0,0,,,Y,Y,11,11,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,5,5,4,4,5,13,16,10,8,5,9,9,7,80,3,3,1,0,0,26,2,25,1,27,0,5,5,7,,,5,1,4,1,0,0,0,0,0,0
,,,,F,,15,401,0,815757586,,844f8789-327a-4253-a765-ab58de450916,N,0,0,0,0,1,4,WBRI,0,0,Y,Y,Y,Y,13,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,4,2,2,,18,18,10,8,8,10,10,8,87,3,3,,,,27,,29,,29,2,8,6,7,7,1,,,6,1,0,0,0,0,0,0
,,,,F,,15,401,0,739919741,,7de4a5f5-c6dd-4e4b-8ed8-cc1fe313854f,K,0,0,0,0,1,2,APKN,0,0,,,,,9,10,1,1,1,1,1,1,1,1,,,,,1,,,,6,2,1,1,,5,14,5,3,5,4,4,3,41,3,3,,,,17,,10,,15,4,4,2,4,,,3,-1,3,0,0,0,0,0,0,0
,,,,M,,15,401,1,813065090,,0c2cdf11-1d68-4acd-bfd3-47fc8894b173,N,0,0,0,0,2,2,WBRI,0,0,,,,,11,11,1,1,1,1,,1,1,,,1,,,,,,,4,4,5,5,5,10,14,7,6,2,6,6,4,61,2,3,0,0,2,19,0,19,0,19,0,3,5,2,4,1,5,-1,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,742039485,,b70d1f6f-8804-4361-b3f4-1de62c1ecdc9,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,Y,Y,11,12,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,5,4,4,3,4,15,8,5,7,7,7,5,5,59,3,3,0,0,0,16,0,16,0,16,1,7,4,6,4,0,,,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,594657683,,2fd50e5b-9451-4503-bc77-90eabad13e1e,K,0,0,0,0,1,3,WBRI,0,0,Y,Y,,,8,10,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,3,2,3,3,5,16,10,7,7,8,7,5,5,68,3,2,1,1,0,21,2,20,1,19,0,8,8,6,5,1,5,3,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,813207293,,de9fa752-2722-44b2-b418-e05c421a4fe3,K,0,0,0,0,1,3,WBRI,0,0,,,Y,Y,10,11,1,1,1,,1,,1,1,1,1,1,,,1,,,5,5,4,4,5,15,9,5,4,1,4,5,3,51,3,3,0,1,0,15,-1,13,-2,21,0,0,1,2,5,-1,,,,,0,0,0,0,0,0
,,,,F,,15,401,0,670863317,,0013678d-671d-4026-a601-d24676cd1011,N,0,0,0,0,2,3,WBRI,0,0,Y,Y,,Y,9,11,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,4,,2,2,,13,14,6,6,7,5,4,4,59,3,2,,,,19,,13,,17,0,7,5,9,5,0,,,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,661615316,,ae993fdb-2125-4135-8c77-027090537d63,N,0,0,0,0,1,2,WBRI,0,0,,,Y,Y,10,10,1,1,1,1,,,1,,1,1,1,,,,,,4,4,5,5,5,14,11,4,6,4,5,5,6,68,3,3,0,-1,1,14,0,16,0,18,2,5,4,1,4,0,5,0,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,787789372,,4178c924-f1d2-4802-bc84-1d35206565ff,N,0,0,0,0,1,2,AIND,0,0,,Y,Y,,9,10,1,1,1,1,,,1,1,,,,,,,,,4,4,4,4,3,15,8,5,6,6,4,3,1,46,3,3,1,3,1,14,1,10,0,14,0,6,2,1,1,0,1,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,657361143,,8412b431-e3b7-4425-a8fe-0a227e9ce79c,N,0,0,0,0,2,3,BAFR,0,0,Y,Y,Y,Y,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,4,5,5,5,14,18,8,8,8,9,7,7,83,3,2,2,-1,3,26,3,24,2,12,7,8,8,8,6,4,6,3,6,1,0,0,0,0,0,0
,,,,M,,15,401,1,618717654,,8c3b0e66-d38d-475f-ab9f-52d48be8bef9,N,0,0,0,0,1,2,WBRI,0,0,,,,,6,8,,1,1,,,,,,,,,,,,,,4,6,4,4,3,3,9,0,0,0,0,0,0,6,1,1,-2,-2,-1,0,-2,1,-3,1,1,1,0,1,4,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,667355541,,e318a7c1-60c2-4b70-a279-ce517c7053c0,N,0,0,0,0,2,3,BCRB,0,0,Y,Y,,Y,8,8,1,1,1,,,,1,,,1,,,1,,,,,4,4,4,5,11,15,4,5,2,6,6,1,54,2,2,0,-1,1,13,-1,17,0,19,0,6,0,3,4,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,764567640,,9de3c580-3fa6-4ce5-b14d-6e3d313bee60,N,1,0,0,1,2,2,WBRI,0,0,,,,,10,8,1,1,1,1,,,1,,,,,,,,,,4,4,3,3,3,16,5,2,1,2,5,5,4,32,3,3,0,0,-1,3,-2,13,0,0,15,1,3,0,2,-2,1,-1,,,0,0,0,0,0,0
,,,,M,,15,401,1,799318274,,f84eb290-6d36-4509-857f-7ade9ab53c15,K,0,0,0,1,1,1,WBRI,0,0,,,Y,Y,8,8,1,1,1,1,,,1,1,1,,1,1,,1,,,,,3,3,4,8,8,5,3,1,5,5,6,41,2,3,1,3,0,12,1,15,1,15,2,4,5,1,3,2,4,1,,,0,0,0,0,0,0
,,,,F,,15,401,1,786302175,,7cff5d52-7a1c-4496-9776-d8039b2c5378,N,0,0,0,0,1,2,APKN,0,0,,,,,7,9,1,1,1,,1,,1,,,,1,,1,,,,5,4,4,5,4,10,6,3,2,0,3,3,2,32,2,3,-1,-1,0,6,0,9,-2,11,0,1,0,3,3,0,,,3,0,0,0,0,0,0,0
,,,,F,,15,401,1,703536708,,73474081-2737-4ffa-935b-46753a57276d,N,0,0,0,0,1,4,WBRI,0,0,Y,,Y,Y,11,10,1,1,1,,1,1,1,1,1,,1,1,,,,,5,5,5,4,5,18,9,5,7,6,8,6,7,68,3,3,0,3,-2,14,0,20,0,12,8,7,5,3,5,-1,,,4,1,0,0,0,0,0,0
,,,,F,,15,401,1,690009544,,dbf6c40a-7e3e-4cf5-8bf6-3ab92dfdb73b,N,1,0,0,1,2,4,WOTH,0,0,Y,Y,,,10,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,4,4,2,2,5,12,13,7,5,6,7,6,5,61,3,3,0,0,0,19,0,19,0,12,4,5,4,4,4,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,0,738356575,,f2b6d196-cfeb-4a75-a454-048831b14a64,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,Y,,9,8,1,1,1,1,,,1,1,1,,,1,1,,,,4,6,2,1,,11,16,6,5,5,5,6,5,68,3,3,,,,17,,18,,17,1,5,7,1,,,3,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,761857739,,75aee67d-82cd-457b-a3a8-6eb022f270f7,E,1,0,0,1,1,2,WBRI,0,0,,,,,9,7,1,1,1,,,,1,,1,,,,,,,,5,4,3,3,3,5,6,2,1,0,5,4,1,32,2,3,-1,-1,0,3,-2,11,0,2,16,3,0,0,3,-1,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,801688043,,c10a384e-3d52-48a9-b224-8a447e5c5c3a,N,0,0,0,0,2,3,APKN,0,0,Y,Y,Y,Y,12,10,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,4,,4,4,5,18,17,10,8,7,8,7,6,84,3,3,1,0,1,27,2,22,0,21,2,8,6,3,6,1,6,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,792409103,,44e1a8b7-d535-41f9-810b-a022f7ac02e3,N,0,0,0,0,1,2,APKN,0,0,,Y,Y,Y,10,11,1,1,1,,1,,1,1,1,1,1,,,1,,,4,4,5,5,5,14,9,4,4,3,7,5,2,51,3,3,1,2,1,14,1,18,0,16,4,2,0,2,4,0,,,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,685015415,,ba5f6455-b1de-46d1-88d0-0c10009a108e,N,0,0,0,0,2,3,WOTH,0,0,Y,Y,Y,Y,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,5,4,4,5,17,17,9,6,7,7,7,7,79,3,3,0,0,0,24,0,22,0,16,3,6,7,9,,,,,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,697667896,,760e6620-1bb9-47d8-bc42-995ebc90cff3,N,0,0,0,0,1,2,APKN,0,0,,,,,9,8,1,1,1,,,,,,,,,,,,,,4,5,3,3,3,4,3,4,0,0,4,2,2,17,2,3,-1,-2,0,5,-2,8,-1,4,7,0,1,1,2,-1,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,794155421,,aca2bfd9-b0f3-48ac-b334-d6fc8a3a4964,N,0,0,0,0,1,2,WBRI,0,0,Y,Y,,Y,10,9,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,5,4,5,5,5,14,16,7,8,7,6,7,8,78,3,3,0,1,0,24,0,21,0,22,2,7,6,5,6,0,6,1,6,0,0,0,0,0,0,0
,,,,F,,15,401,1,819710353,,97356195-1839-4a7a-a2f0-d13dbec6bcea,N,0,0,0,0,2,4,APKN,0,0,,,Y,Y,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5,5,4,4,5,15,18,10,8,8,7,9,8,85,3,3,0,-1,0,27,0,26,0,28,0,8,8,8,7,0,7,0,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,811846895,,e960a344-116f-4df3-940a-a167cdea2194,N,0,0,0,0,2,1,AOTH,0,0,,,Y,,11,8,1,1,1,,1,,1,1,1,1,1,,1,1,,,5,5,5,5,5,8,12,5,4,4,7,7,7,65,3,3,0,-1,0,17,1,22,1,24,0,4,0,4,4,1,4,0,4,0,0,0,0,0,0,0
