candidate_number,forvus_index_number,surname,forename,gender,date_of_birth,age,pupil_inclusion_status_flag,pupil_included_in_progress_8_calculations,la_establishment_number,school_urn,upn,sen,has_the_pupil_been_eligible_for_fsm_in_the_last_6_years,is_the_pupil_looked_after,post_looked_after_arrangements,is_the_pupil_disadvantaged,eal_group,ks2_prior_band,students_ethnicity,did_the_pupil_join_within_the_last_2_yrs,took_english_bacc_9_4,took_english_bacc_9_5,took_english_and_maths_gcses_9_4,took_english_and_maths_gcses_9_5,entries,gcse_entries,entry_english_ebacc,entry_maths_ebacc,entry_science_ebacc,entry_humanities_ebacc,entry_language_ebacc,entry_all_ebacc,achieved_english_ebacc_9_4,achieved_english_ebacc_9_5,achieved_maths_ebacc_9_4,achieved_maths_ebacc_9_5,achieved_science_ebacc_at_grade_9_4,achieved_science_ebacc_at_grade_9_5,achieved_humanities_ebacc_at_grade_9_4,achieved_humanities_ebacc_at_grade_9_5,achieved_language_ebacc_at_grade_9_4,achieved_language_ebacc_at_grade_9_5,entry_triple_science,entry_multiple_languages,ks2_reading_level_finely_graded,ks2_mathematics_finely_graded,ks2_reading_ta_level,ks2_mathematics_ta_level,ks2_reading_ps,ks2_maths_ps,pupil_level_ebacc_average_point_score,point_score_in_english_ebacc_subject_area,point_score_in_maths_ebacc_subject_area,point_score_in_science_ebacc_subject_area,highest_point_score_achieved_in_humanities_ebacc_subject_area,highest_point_score_achieved_in_language_ebacc_subject_area,prior_attainment_score_in_english_and_mathematics,score_achieved_in_english,score_achieved_in_mathematics,score_achieved_in_1st_ebacc_slot,score_achieved_in_2nd_ebacc_slot,score_achieved_in_3rd_ebacc_slot,score_achieved_in_1st_open_slot,score_achieved_in_2nd_open_slot,score_achieved_in_3rd_open_slot,attainment_8_score,ebacc_slots_filled,open_slots_filled,pupils_adjusted_progress_8_score,pupils_unadjusted_progress_8_score,pupils_progress_8_score_has_been_adjusted_due_to_extreme_negative_score,progress_8_score_for_english,progress_8_score_for_mathematics,score_achieved_in_ebacc_slots,progress_8_score_for_ebacc_slots,score_achieved_in_open_slots,progress_8_score_for_open_slots,total_score_achieved_in_open_slots_gcses_only,total_score_achieved_in_open_slots_non_gcses_only,ks2_4_predicted_ps_for_ebacc_science_va,ebacc_science_va_score,ks2_4_predicted_ps_for_ebacc_humanities_va,ebacc_humanities_va_score,ks2_4_predicted_ps_for_ebacc_language_va,ebacc_language_va_score,pupil_level_english_pathway_flag,pupil_level_science_pathway_flag,maths_exclude_previous_school,english_exclude_previous_school,science_exclude_previous_school
,,,,M,,15,401,1,791935446,,9734a235-226a-4198-b9fd-0ed2c70bb440,N,0,0,0,0,1,2,WIRI,0,Y,Y,Y,Y,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5,5,4,4,8,6,8,7,3,8,5,13,17,8,8,6,8,8,8,88,2,3,1,1,,0,2,25,2,25,1,26,0,6,3,,,5,0,0,0,0,0,0
,,,,M,,15,401,1,775809142,,7563b155-7a84-43a7-9adf-a20952a2326a,N,0,0,0,0,1,3,WBRI,0,,,Y,Y,9,9,1,1,1,1,1,,1,1,1,1,1,,1,1,1,,,,,,3,4,5,4,3,2,4,1,0,5,4,8,8,5,2,2,7,1,3,54,3,3,-1,-1,,-1,0,14,-1,16,-1,13,2,4,-1,3,0,4,-1,0,0,0,0,0
,,,,F,,15,401,1,727060864,,676ee3fc-96a2-43a9-ba41-77678af8971c,N,0,0,0,0,1,2,WBRI,0,,,,,7,8,1,1,1,1,,,1,,1,,,,,,,,,,,,5,6,3,3,2,5,0,0,4,0,3,7,0,3,1,0,4,1,1,24,2,3,0,0,,1,0,8,0,6,0,8,2,2,0,2,0,,,0,0,0,0,0
,,,,F,,15,401,1,761913109,,c3dd6d86-bc8d-430f-90e6-955f2d9a3c19,N,0,0,0,0,2,4,MWBA,0,,,Y,Y,7,7,1,1,1,,,,1,1,1,1,1,1,1,,,,1,,,,5,5,4,3,3,6,4,3,0,1,5,13,8,5,2,1,4,2,0,44,2,2,-1,-1,,-1,0,11,-1,8,-3,3,2,5,-1,,,,,0,0,0,0,0
,,,,M,,15,401,1,752439342,,cb8dbf73-65e6-4041-9901-29b212ebb705,N,0,0,0,0,1,3,WBRI,0,Y,,,Y,10,10,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,5,5,5,4,5,5,7,6,6,7,5,12,14,5,5,7,5,5,4,64,3,2,-1,-1,,-2,0,18,0,16,-2,18,1,6,0,6,0,6,-1,0,0,0,0,0
,,,,F,,15,401,1,661481521,,1a735b06-0309-418d-8c7d-21d17348b380,N,0,0,0,0,1,2,WBRI,0,,,Y,,7,7,1,1,1,,,,1,1,1,,1,,1,1,,,1,1,,,,5,5,5,3,6,6,4,2,1,4,12,12,3,5,2,5,6,5,54,2,2,0,0,,0,1,11,0,15,1,17,2,5,1,,,,,0,0,0,0,0
,,,,F,,15,401,1,789694901,,f3837d15-9d8f-4ce7-a3ba-de019192e39d,N,0,0,0,0,1,4,APKN,0,,,Y,,9,9,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,5,4,3,4,5,2,7,7,6,5,5,7,14,7,6,7,8,6,8,63,3,3,-1,-1,,-3,0,19,-1,22,0,18,3,7,-1,6,-2,5,0,0,0,0,0,0
,,,,F,,15,401,1,641612144,,0ee46503-16b0-43fd-85f9-ade33d6b5caa,N,0,0,0,0,1,2,APKN,0,Y,Y,Y,Y,7,7,1,1,1,1,,,1,1,1,,1,,1,,1,,1,1,,,4,6,5,4,3,5,6,5,2,2,4,14,12,3,4,3,3,3,3,49,2,2,0,0,,0,0,10,0,11,-1,10,0,3,0,,,4,1,0,0,0,0,0
,,,,M,,15,401,1,778195071,,a1f85b80-4ce4-4226-ba50-a5193dbbfdd3,N,0,0,0,0,1,2,WBRI,0,,,Y,Y,7,6,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,4,5,4,5,5,8,4,3,3,0,5,16,11,6,2,3,6,4,2,62,3,2,0,0,,0,0,17,0,17,0,11,4,7,0,6,0,,,0,0,0,0,0
,,,,M,,15,401,1,783078362,,e306bab1-27d0-4983-a81f-91b755126cb0,K,0,0,0,0,1,3,WBRI,0,,,Y,Y,9,7,1,1,1,,1,,,,1,1,1,1,1,1,1,1,,,,,5,5,4,4,4,3,4,4,1,2,4,12,11,6,4,4,7,3,4,61,3,3,0,0,,-1,1,19,0,19,0,16,2,4,0,,,,,0,0,0,0,0
,,,,M,,15,401,0,821668534,,c33a1679-8746-4964-8822-38e68a265d1e,N,0,0,0,0,2,4,APKN,0,,,Y,Y,10,9,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,,,3,3,0,1,7,7,8,8,5,5,,16,16,10,8,8,9,8,8,82,3,3,,,,,,27,,26,,26,3,,,,,,,0,0,0,0,0
,,,,F,,15,401,1,526054138,,f43ff4fc-0a37-404c-843b-bf4928f25d27,N,0,0,0,0,1,2,MWAS,0,,,,,5,7,,1,,,1,1,1,,,,,,,,1,,1,,,,,2,3,3,2,5,5,4,6,7,4,8,7,2,5,6,4,4,3,32,2,2,0,0,,0,0,8,1,10,0,5,1,,,,,5,0,0,0,0,0,0
,,,,M,,15,401,1,795062848,,ff8766c4-fecd-47bd-96e1-30fc0afea8c7,N,0,0,0,0,1,3,AIND,0,Y,Y,,Y,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,4,5,5,5,8,5,9,8,8,9,5,14,18,10,8,8,9,7,6,86,3,3,0,0,,-2,0,28,0,24,0,23,0,7,0,7,0,6,-1,0,0,0,0,0
,,,,F,,15,401,1,690262050,,981f3fa8-30e0-4b9f-b4e8-9f71e3404bc9,N,1,0,0,0,1,3,AIND,0,,Y,,,3,7,1,1,,,1,1,1,,,,,,1,1,,1,,,,,,4,3,2,1,8,2,0,3,6,5,11,1,2,2,0,2,0,0,14,2,1,-2,-2,,0,-3,2,-2,2,-2,1,2,,,,,5,0,0,0,0,0,0
,,,,M,,15,401,1,786946969,,1c4eee77-da8e-4bdc-b146-8ccd6c73b442,N,1,0,0,1,1,3,MWBA,0,Y,Y,Y,,8,8,1,1,1,1,,,1,1,1,,1,,,,,,,,,,4,6,3,3,4,7,4,6,0,0,5,12,8,5,6,6,7,3,3,55,3,3,0,0,,0,0,18,0,15,0,13,3,5,0,,,,,0,0,0,0,0
,,,,M,,15,401,1,752540060,,a174fb8b-70a8-471e-b7ba-b3cdad1d5b93,N,0,0,0,0,1,3,APKN,0,Y,,Y,Y,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5,5,4,5,7,4,8,6,5,9,5,13,17,9,7,8,9,7,8,81,3,3,1,0,,0,1,24,0,24,0,21,3,6,0,6,1,5,1,0,0,0,0,0
,,,,F,,15,401,1,818105879,,3446ede9-9bf3-4e06-b644-02fa3909cb01,K,0,0,0,1,1,2,WIRI,0,,,Y,Y,9,8,1,1,1,1,,,1,1,1,1,,,,1,1,,,,,,4,6,3,2,5,6,2,4,3,1,3,11,5,7,6,4,7,5,3,57,3,3,1,1,,1,0,18,0,17,0,14,4,1,0,2,0,,,0,0,0,0,0
,,,,M,,15,401,1,718756243,,c662100f-6c6f-4c17-a2dc-8d33abe12800,N,1,0,0,1,1,3,WBRI,0,,Y,Y,Y,8,7,1,1,1,1,,,1,,1,1,1,1,1,1,1,,1,1,,,,6,2,3,7,4,7,8,5,2,4,13,16,7,8,7,6,7,6,76,3,3,1,2,,1,3,23,2,18,1,17,1,3,2,3,0,,,0,0,0,0,0
,,,,F,,15,401,1,811949048,,85747779-3948-45ec-8e81-ce445bc13d13,N,0,0,0,0,1,3,WBRI,0,,Y,Y,Y,9,9,1,1,1,1,1,1,1,1,1,,,,1,,1,,1,,,,5,5,3,3,6,8,2,3,4,3,5,13,5,7,4,3,5,4,3,60,3,3,-1,-1,,-1,0,20,-2,16,-2,18,1,4,-1,5,-2,,,0,0,0,0,0
,,,,F,,15,401,1,808234264,,d0135721-346b-4766-ab3a-da8c2cd02f1d,N,0,0,0,0,1,4,WBRI,0,,,Y,,8,6,1,1,1,,,,1,1,1,,1,1,,,,,,,,,5,5,5,5,5,5,6,6,0,0,5,15,15,5,5,3,6,4,4,64,2,3,-1,-1,,0,-1,15,-1,16,-1,18,1,5,0,,,,,0,0,0,0,0
,,,,F,,15,401,1,719750624,,b253289e-05e9-49dd-943b-70b0cefea0e0,N,1,0,0,1,1,3,APKN,0,Y,Y,Y,Y,10,8,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,3,4,2,2,7,8,3,6,6,4,4,14,8,7,6,7,8,7,7,70,3,3,1,1,,1,0,22,1,23,2,20,5,4,0,5,0,5,0,0,0,0,0,0
,,,,M,,15,401,1,776849210,,6b370015-61d2-4070-9e44-f02b0bc42412,N,1,0,0,1,1,2,WBRI,0,,,Y,Y,11,9,1,1,1,1,1,,,,1,1,,1,1,1,,,1,,,,4,6,4,4,6,1,4,4,1,1,4,7,12,6,4,2,8,6,7,62,3,3,0,0,,-1,0,18,0,24,0,24,1,3,0,,,,,0,0,0,0,0
,,,,M,,15,401,1,722648898,,6a31f2cb-5d1d-4458-9c00-6ebbd9f35b64,N,1,0,0,1,1,2,BAFR,0,,,Y,Y,10,9,1,1,1,1,,,1,1,1,1,,,,,,,1,,,,4,4,4,4,4,5,3,4,3,0,4,9,8,6,3,1,4,2,2,49,2,3,0,0,,1,0,14,-1,12,0,11,1,3,0,3,0,,,0,0,0,0,0
,,,,F,,15,401,1,749045101,,bb858e96-8610-49ce-b8e2-75eb35aecdab,E,0,0,0,0,1,3,WBRI,0,,,Y,Y,9,8,1,1,1,1,,,1,,1,,,,,,,,,,,,5,5,4,4,3,6,7,5,4,1,5,9,14,3,5,5,5,4,2,49,3,3,0,0,,0,0,10,-1,14,-1,7,6,5,-1,4,0,,,0,0,0,0,0
,,,,M,,15,401,1,595470730,,53d13e89-a8ac-4bea-beeb-782832c46e82,N,0,0,0,0,1,3,WBRI,0,,Y,,,7,7,1,1,1,,,,1,,,,,,,,,,,,,,6,6,4,4,2,6,2,2,1,2,5,10,3,3,1,1,2,3,3,29,2,2,0,0,,0,0,6,0,7,0,2,5,6,0,,,,,0,0,0,0,0
,,,,M,,15,401,1,813638173,,a1028c43-d8bb-4de8-86b9-01fdf5fc4228,N,0,0,0,0,2,2,AIND,0,Y,Y,Y,Y,10,8,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,,,4,5,5,5,6,4,3,5,4,1,4,12,9,7,2,3,7,3,1,67,3,3,0,0,,0,0,21,0,16,0,14,4,3,0,4,0,4,0,0,0,0,0,0
,,,,M,,15,401,0,776014465,,7149448f-c187-4796-bee5-58f81e39d945,N,0,0,0,0,2,4,APKN,0,Y,Y,,Y,9,8,1,1,1,,1,1,1,1,1,1,1,1,,,1,,1,,,,4,5,3,3,6,6,8,8,1,6,,13,16,8,7,7,8,5,1,75,3,2,,,,,,23,,19,,19,2,,,,,5,0,0,0,0,0,0
,,,,M,,15,401,1,785030577,,2259bd6a-a2e6-42e2-a5d3-d1ba01b9f873,N,0,0,0,0,1,3,APKN,0,,Y,Y,Y,9,8,1,1,1,,1,1,1,1,,1,,1,,1,1,1,,,,,2,5,5,5,6,4,5,6,2,5,5,11,13,7,5,6,6,4,3,74,3,2,-2,-2,,-2,-2,20,-1,16,-2,22,0,7,-1,7,0,6,0,0,0,0,0,0
,,,,F,,15,401,1,716635639,,06dae9bf-ed0f-474e-a53d-31abfcc421ae,N,0,0,0,0,1,3,WBRI,0,Y,,Y,Y,7,7,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,,,5,5,3,2,5,4,7,4,7,1,4,7,14,7,6,5,8,5,1,62,3,2,0,0,,0,1,19,0,20,0,21,4,3,0,3,1,,,0,0,0,0,0
,,,,M,,15,401,0,816491833,,2dc39087-966e-436a-b1c2-c521e1cac7db,N,0,0,0,0,1,3,APKN,0,Y,,Y,Y,10,10,1,1,1,,1,,1,1,1,1,1,1,1,1,1,,1,,,,3,,0,1,6,5,8,8,2,3,,14,17,6,8,6,8,7,6,74,2,3,,,,,,20,,22,,21,1,,,,,,,0,0,0,0,0
,,,,F,,15,401,1,787123190,,40f3bf00-0008-47d8-a336-e0b044b33a74,N,1,0,0,1,1,2,WBRI,0,,,Y,Y,10,10,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,1,,,5,5,5,5,6,5,8,7,7,1,5,13,16,8,7,8,9,8,5,77,3,3,0,0,,0,0,23,1,24,1,22,3,5,0,6,1,,,0,0,0,0,0
,,,,F,,15,401,1,761125340,,76055241-e639-4124-bef6-d8c1da7eb478,N,0,0,0,0,1,2,BCRB,0,,,,,9,6,1,1,1,,,,1,,,,,,,,,,,,,,5,4,4,4,4,8,3,4,0,1,4,15,9,5,4,1,6,5,4,51,2,3,0,0,,0,0,13,0,16,0,14,7,3,0,,,,,0,0,0,0,0
,,,,M,,15,401,1,709678485,,15eedc0d-2dc2-4566-9ee7-cc19891295c4,N,0,0,0,0,1,2,APKN,0,Y,Y,,Y,7,5,1,1,1,,1,1,1,1,1,1,,,,,1,1,,,,,5,5,5,4,3,7,5,4,2,5,4,14,10,4,4,4,5,5,2,45,2,2,0,-1,,-1,-1,9,0,11,0,7,5,5,0,,,4,2,0,0,0,0,0
,,,,M,,15,401,1,780862467,,497cae02-c319-4c11-894b-90866e4bf8c1,N,0,0,0,0,2,2,MWBC,0,,,Y,,7,5,1,1,1,,,,1,1,1,1,1,1,,,,,,,,,4,6,4,4,3,3,7,4,1,0,4,7,14,4,5,3,4,3,2,45,2,3,0,0,,0,1,11,0,9,-1,9,2,4,0,,,,,0,0,0,0,0
,,,,M,,15,401,1,678415859,,b9508dcd-c11b-4efd-a620-abb9565cfec6,N,0,0,0,0,1,2,AIND,0,,,Y,Y,6,7,1,1,1,1,,,1,1,1,1,,,1,1,,,,,,,5,5,5,5,2,5,4,1,3,0,4,8,7,3,1,2,3,1,1,34,3,2,0,0,,0,0,7,0,6,0,4,0,4,0,4,0,,,0,0,0,0,0
,,,,M,,15,401,1,817110357,,60566408-325f-448d-8fb1-3a8e0e017f00,N,0,0,0,0,1,4,APKN,0,,Y,Y,Y,9,9,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,5,5,4,3,7,7,6,8,3,3,5,15,14,9,8,8,7,7,7,85,3,3,1,1,,1,1,26,1,22,0,20,2,4,1,,,,,0,0,0,0,0
,,,,F,,15,401,1,824801006,,20c6eb1e-ceb1-4caa-9b24-6e7e8626260e,N,0,0,0,0,1,4,APKN,0,Y,Y,Y,,12,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5,5,5,5,9,9,9,8,6,6,5,18,18,10,9,8,10,8,8,91,3,3,1,1,,2,0,28,1,27,1,27,1,7,1,7,0,6,0,0,0,0,0,0
,,,,F,,15,401,0,629118844,,a031cdfe-a49c-4822-b19e-e716f81dde29,N,0,0,0,0,1,3,WBRI,0,,,Y,,7,8,1,1,1,,,,1,1,1,,1,,,,,,,,,,6,,0,0,3,8,6,6,2,0,,12,12,4,6,3,7,7,5,49,2,3,,,,,,12,,19,,17,0,,,,,,,0,0,0,0,0
,,,,F,,15,401,0,821580256,,12833ca4-d61a-4b37-80d1-0fc2e5507ac4,N,0,0,0,0,1,4,BAFR,0,Y,Y,Y,Y,11,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,4,4,2,4,9,9,9,8,3,4,,18,18,10,8,8,8,8,8,90,3,3,,,,,,28,,26,,23,3,6,1,,,,,0,0,0,0,0
,,,,M,,15,401,1,707838851,,3eb6b450-151c-4149-9749-f5077ce59d02,K,0,0,0,0,1,3,APKN,0,Y,,Y,Y,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,5,4,4,4,6,8,7,7,3,3,5,17,15,8,7,6,7,5,5,74,3,3,0,1,,1,1,23,1,20,0,19,3,6,0,,,,,0,0,0,0,0
,,,,M,,15,401,1,636872821,,bc5c4487-79ff-4f7e-8b71-79f7874385aa,N,0,0,0,0,1,1,APKN,0,,,Y,,3,5,1,1,1,,,,,,,,,,,,,,,,,,3,3,3,3,0,2,2,0,0,0,3,4,2,0,0,0,0,0,0,1,2,2,0,0,,0,0,0,0,0,-2,0,0,2,0,,,,,0,0,0,0,0
,,,,M,,15,401,1,641459832,,5a57b612-ad0c-4443-ab1b-fb84a8966137,N,0,0,0,0,1,4,AOTH,0,Y,Y,Y,,10,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,4,4,3,3,7,9,6,5,5,7,5,18,12,8,5,7,7,7,7,79,3,3,0,0,,2,0,23,0,22,0,26,0,,,,,5,0,0,0,0,0,0
,,,,F,,15,401,1,652748470,,a04ca22d-c4e1-462a-8380-146a8b333fda,K,0,0,0,0,2,3,APKN,0,,Y,,,5,5,1,1,1,1,,,1,1,1,,,,,,,,,,,,4,3,4,3,3,7,3,4,3,3,5,11,4,5,4,3,6,6,3,45,3,3,0,0,,1,0,12,0,14,1,5,7,5,1,,,5,0,0,0,0,0,0
,,,,M,,15,401,1,802579771,,642e6fbc-b2a0-4189-9244-fb8b941680c0,N,0,0,0,0,2,1,WBRI,0,Y,Y,,,8,8,1,1,1,1,1,1,1,1,,,,,,,1,,,,,,6,3,5,5,5,4,7,7,5,3,4,9,15,4,7,6,5,6,6,51,3,3,0,0,,0,0,15,0,14,0,10,3,4,0,5,0,5,2,0,0,0,0,0
