candidate_number,forvus_index_number,surname,forename,gender,date_of_birth,age,pupil_inclusion_status_flag,pupil_included_in_progress_8_calculations,la_establishment_number,school_urn,upn,sen,has_the_pupil_been_eligible_for_fsm_in_the_last_6_years,is_the_pupil_looked_after,is_the_pupil_disadvantaged,eal_group,ks2_prior_band,students_ethnicity,did_the_pupil_join_within_the_last_2_yrs,took_english_bacc_9_4,took_english_bacc_9_5,took_english_and_maths_gcses_9_4,took_english_and_maths_gcses_9_5,entries,gcse_entries,entry_english_ebacc,entry_maths_ebacc,entry_science_ebacc,entry_humanities_ebacc,entry_language_ebacc,entry_all_ebacc,achieved_english_ebacc_9_4,achieved_english_ebacc_9_5,achieved_maths_ebacc_9_4,achieved_maths_ebacc_9_5,achieved_science_ebacc_at_grade_9_4,achieved_science_ebacc_at_grade_9_5,achieved_humanities_ebacc_at_grade_9_4,achieved_humanities_ebacc_at_grade_9_5,achieved_language_ebacc_at_grade_9_4,achieved_language_ebacc_at_grade_9_5,entry_triple_science,entry_multiple_languages,ks2_reading_level_finely_graded,ks2_mathematics_finely_graded,ks2_reading_ta_level,ks2_mathematics_ta_level,ks2_reading_ps,ks2_maths_ps,pupil_level_ebacc_average_point_score,point_score_in_english_ebacc_subject_area,point_score_in_maths_ebacc_subject_area,point_score_in_science_ebacc_subject_area,highest_point_score_achieved_in_humanities_ebacc_subject_area,highest_point_score_achieved_in_language_ebacc_subject_area,prior_attainment_score_in_english_and_mathematics,score_achieved_in_english,score_achieved_in_mathematics,score_achieved_in_1st_ebacc_slot,score_achieved_in_2nd_ebacc_slot,score_achieved_in_3rd_ebacc_slot,score_achieved_in_1st_open_slot,score_achieved_in_2nd_open_slot,score_achieved_in_3rd_open_slot,attainment_8_score,ebacc_slots_filled,open_slots_filled,pupils_adjusted_progress_8_score,pupils_unadjusted_progress_8_score,pupils_progress_8_score_has_been_adjusted_due_to_extreme_negative_score,progress_8_score_for_english,progress_8_score_for_mathematics,score_achieved_in_ebacc_slots,progress_8_score_for_ebacc_slots,score_achieved_in_open_slots,progress_8_score_for_open_slots,total_score_achieved_in_open_slots_gcses_only,total_score_achieved_in_open_slots_non_gcses_only,ks2_4_predicted_ps_for_ebacc_science_va,ebacc_science_va_score,ks2_4_predicted_ps_for_ebacc_humanities_va,ebacc_humanities_va_score,ks2_4_predicted_ps_for_ebacc_language_va,ebacc_language_va_score,pupil_level_science_pathway_flag
,,,,F,,15,401,1,741391408,,c11e1a58-8bee-4e6f-8bf3-2db17f4568a8,N,1,0,1,2,2,WBRI,0,,,Y,,7,7,1,1,1,1,,,1,,,,,,1,1,,1,,,5.736842105,4.909090909,4,5,5,4,3,5,1,5,7,1,5,12,5,3,8,5,6,7,4,48,2,2,0,0,,0,0,12,0,19,0,15,2,4,1,5,1,,,0
,,,,F,,15,401,1,695642146,,58409fcb-b3c3-455d-a4a6-c1d212f50e15,N,1,0,1,1,2,APKN,0,,,,Y,6,5,1,1,1,,,,,1,,,,,,,,,,,5.052631579,3.785714286,4,5,4,3,1,0,2,0,0,2,4,1,6,1,0,0,4,2,0,19,2,2,-2,-1,,-1,-1,2,-2,7,-2,6,3,4,-1,,,,,0
,,,,M,,15,401,1,720341823,,37e632ef-47e7-4cb4-a2b6-c0c61a267403,N,0,0,0,2,3,MWBC,0,Y,Y,Y,Y,9,10,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,,5.157894737,,3,,2,3,6,7,9,7,3,9,5,13,16,7,7,7,5,5,5,68,2,2,0,0,,0,0,19,1,18,0,19,0,,,,,6,0,0
,,,,F,,15,401,1,798611899,,55105b88-4307-47b9-a3ea-9e30b5eaab6f,N,1,0,1,1,2,WBRI,0,Y,Y,Y,,9,8,1,1,1,1,1,1,,,1,,,,,1,1,1,,,5.052631579,5.181818182,4,6,4,4,5,1,4,3,4,4,5,5,13,5,3,1,5,4,3,48,2,3,0,0,,0,0,12,0,12,0,19,0,4,0,3,0,4,0,0
,,,,F,,15,401,1,557917207,,042bfa3d-7ceb-47d7-8074-951c1b3997ca,N,0,0,0,2,4,MWBC,0,,,Y,Y,7,11,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,,5.473684211,5.590909091,4,4,4,4,3,7,9,5,6,6,5,11,13,4,7,7,7,6,4,46,2,2,0,0,,0,1,12,0,17,0,20,0,,,,,5,-1,0
,,,,F,,15,401,1,667696870,,2c1db185-e18b-40bc-9bd7-9b8a594430aa,N,0,0,0,1,3,WBRI,0,Y,,Y,Y,9,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,5.818181818,5,5,5,3,7,7,5,6,2,3,5,16,16,9,4,3,6,4,6,77,3,3,0,0,,0,0,25,0,19,0,17,2,5,0,6,0,4,-1,0
,,,,M,,15,401,1,702424677,,cbcb52d3-f82c-4f1f-b553-c27ff41e3dcc,N,0,0,0,1,3,AIND,0,Y,Y,Y,Y,9,9,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,5.315789474,5.636363636,2,6,4,4,6,7,7,7,8,1,5,14,13,7,7,6,7,5,5,66,3,3,0,0,,0,0,22,0,19,0,14,2,5,0,7,0,,,0
,,,,M,,15,401,1,701948075,,584af8fb-ac5a-427e-8282-b0439e7855f6,N,1,0,1,1,2,WBRI,0,Y,Y,Y,,4,3,1,1,1,,1,,1,,,,,,,,,,,,4.615384615,4.363636364,6,W,2,3,2,8,3,1,1,3,5,15,5,1,2,1,5,2,2,33,2,2,-1,-2,,0,-2,5,-2,9,-2,7,5,,,,,,,0
,,,,M,,15,401,1,758080113,,86c7cfcf-fece-4ca2-8788-218071bfdb90,N,0,0,0,1,3,APKN,0,,Y,Y,Y,11,12,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,,5.315789474,5.409090909,5,4,5,5,7,8,8,7,9,5,5,17,16,9,8,8,8,8,7,83,3,3,1,1,,1,1,26,1,25,0,25,0,6,0,5,0,5,0,0
,,,,F,,15,401,1,633042508,,f3910a8f-b684-4558-bb29-ea86c632cbe5,K,0,0,0,1,1,APKN,0,Y,,Y,Y,7,10,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,2.5,4.515151515,5,4,5,5,4,7,6,3,8,9,4,11,7,6,5,6,5,7,4,40,3,2,0,0,,-1,1,18,2,15,0,16,0,4,2,4,0,4,0,0
,,,,F,,15,401,1,732946428,,10af8824-fe6f-4098-841b-3d9dfc45333c,N,0,0,0,1,2,WBRI,0,Y,Y,Y,,8,10,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,,4.615384615,5.454545455,5,4,5,5,2,4,5,2,3,7,5,8,6,2,2,1,3,2,1,28,2,2,-2,-2,,-1,-2,6,-2,5,-2,2,1,6,-2,6,-1,6,0,0
,,,,F,,15,401,1,800136996,,356329c2-c13a-44da-a46f-aa66d2387592,K,0,0,0,1,3,WBRI,0,Y,Y,Y,Y,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5.210526316,,4,,5,5,8,9,8,8,9,8,5,17,14,8,9,8,8,8,8,86,2,3,2,2,,2,1,25,1,26,2,26,0,7,2,6,0,6,4,0
,,,,M,,15,401,1,762502860,,e672bf51-64c0-4abf-8ea2-79c45c5b10f1,N,0,0,0,1,3,MWAS,0,Y,,Y,Y,8,9,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,,5.789473684,4.757575758,5,,5,4,6,9,5,7,7,1,5,17,12,7,7,5,5,8,6,66,3,3,0,0,,1,0,21,0,21,0,23,3,5,1,6,1,,,0
,,,,M,,15,401,0,776452195,,1554c7c0-3c6a-4ff4-bbaa-43a792eb1f93,N,0,0,0,1,4,APKN,0,,Y,Y,Y,7,9,1,1,1,1,,,1,1,,1,1,1,1,1,,1,,,5.315789474,5.363636364,,4,1,0,5,8,5,8,9,2,,14,7,8,7,7,7,7,7,63,3,3,,,,1,0,24,2,22,,20,2,,,4,2,,,0
,,,,F,,15,401,1,739990220,,9d11d8de-2245-48ec-a232-0bfba4abdceb,N,0,0,0,2,4,APKN,0,Y,Y,,Y,12,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5,4,4,4,8,8,10,7,8,10,5,16,19,10,8,8,8,8,8,88,3,3,3,3,,3,3,27,4,24,3,23,2,,,7,2,5,0,0
,,,,M,,15,401,1,742015446,,f195fd95-7b23-4b9d-9c82-9e19f76c3210,N,0,0,0,2,2,WBRI,0,,,,Y,7,8,1,1,1,,,,1,1,,1,,,,,,,1,,5,5.318181818,4,2,3,3,3,5,4,3,1,0,5,12,8,6,5,2,6,4,4,53,2,3,0,0,,0,0,16,0,16,0,15,3,,,,,,,0
,,,,M,,15,401,1,741361067,,54f9d781-15aa-4c25-8473-a69ef96d930a,N,0,0,0,1,2,WBRI,0,,Y,Y,Y,9,10,1,1,1,1,,,,1,1,1,1,1,,,1,1,1,,5.578947368,5.954545455,5,5,5,5,5,6,7,7,4,3,4,10,13,7,6,5,8,6,4,60,3,3,1,1,,0,1,21,2,17,1,18,0,5,1,4,0,5,2,0
,,,,F,,15,401,1,723319745,,4cddda8b-a9d1-493c-9675-8782e4873433,N,1,0,1,1,3,APKN,0,,,Y,Y,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,5.473684211,5.590909091,5,5,5,4,5,9,5,6,9,3,5,18,10,6,5,7,8,7,6,74,3,3,1,1,,3,0,20,0,24,2,21,5,6,0,5,1,5,0,0
,,,,M,,15,401,1,709025429,,84e3d21a-9034-4750-8c41-b81fd4446dcf,N,0,0,0,1,2,AOTH,0,,,Y,Y,7,7,1,1,1,,1,,1,,1,1,,1,,,1,1,,,5.631578947,5.772727273,4,4,4,5,3,7,6,3,1,5,5,13,11,5,4,2,6,4,4,53,2,2,0,0,,0,1,14,0,15,0,11,4,6,0,,,5,0,0
,,,,M,,15,401,1,710799354,,24689717-e2fc-45ce-afc3-c38eaeb7e139,K,0,0,0,2,2,WENG,0,,,Y,Y,7,6,1,1,1,,,,1,1,1,1,1,1,,,,,,,4.230769231,4.878787879,3,6,3,4,4,8,4,6,2,0,4,16,10,6,6,5,6,5,4,62,3,2,2,2,,3,1,17,1,18,1,13,7,4,1,,,,,0
,,,,M,,15,401,1,754615452,,d738af32-54b6-417e-8e29-0eb5f0cddc45,N,1,0,1,1,1,WBRI,0,,,Y,Y,6,4,1,1,1,1,,,,,,,,,,,,,,,3.428571429,3.107142857,4,6,5,4,1,1,3,5,3,1,4,2,6,1,3,2,5,3,1,19,2,2,0,0,,-1,0,4,0,6,0,1,9,3,1,3,1,,,0
,,,,M,,15,401,1,546690420,,28a58f25-ea7d-46cf-bc21-72c2f92cfbd0,K,0,0,0,2,2,BAFR,0,,,,,5,8,,1,,,1,,,,,,,,,,1,1,,,5.052631579,4.181818182,4,6,3,3,1,5,7,3,1,4,4,6,8,2,1,2,5,2,2,26,2,2,0,0,,-1,0,3,0,9,0,8,1,,,,,,,0
,,,,F,,15,401,1,811212445,,084e0672-ee40-4731-ade3-ace1ae984c46,N,0,0,0,1,3,WBRI,0,Y,,Y,Y,11,10,1,1,1,1,1,1,1,1,1,1,,,1,,1,,1,,5.578947368,5.318181818,5,5,5,5,5,5,2,2,2,4,5,12,10,8,4,2,5,5,2,62,3,3,0,0,,0,0,21,0,13,0,18,0,4,0,5,0,4,0,0
,,,,M,,15,401,1,671022958,,17a7923a-c819-40b1-853d-fc658bf857f6,K,0,0,0,1,3,WBRI,0,Y,,Y,Y,8,9,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,,5.210526316,5.363636364,4,4,4,4,7,9,7,6,9,1,5,18,14,5,6,8,8,7,7,80,2,2,0,0,,0,0,19,1,21,0,23,0,,,5,1,,,0
,,,,F,,15,401,1,756762261,,61e445f0-9fd0-4e35-b664-9fdc0192f670,N,0,0,0,1,3,WBRI,0,,,,Y,9,8,1,1,1,1,,,1,1,,,,,,1,,,,,5.526315789,5.272727273,6,4,4,3,2,1,2,2,4,0,4,2,5,3,2,2,3,1,0,19,2,2,-2,-2,,-1,-2,7,-1,3,-2,3,1,3,-1,3,0,,,0
,,,,F,,15,401,1,703463706,,521f8fa5-c28e-436a-abbd-b5e64960c511,K,0,0,0,1,2,WBRI,0,,,Y,,6,7,1,1,1,,,,,,1,,1,,,,,,,,4.307692308,4.818181818,5,5,4,4,2,5,3,4,0,2,4,10,5,3,0,1,3,3,2,24,2,3,0,0,,0,0,4,-1,6,0,3,3,4,-1,,,,,0
,,,,M,,15,401,1,646236748,,d365308e-8af6-47fb-94e3-6cf30d72ddb2,K,0,0,0,1,2,APKN,0,Y,Y,Y,,7,9,1,1,1,1,1,1,,,1,1,,,1,1,,,1,,5,5.863636364,6,6,3,4,2,3,5,2,6,4,4,4,7,3,3,1,3,1,0,25,2,2,-1,-1,,-3,0,7,-1,5,-2,4,0,5,-1,,,5,-1,0
,,,,F,,15,401,1,712722442,,051dc3f5-9de3-4095-a7ae-3520ab1da8bd,N,0,0,0,1,2,APKN,0,Y,Y,Y,Y,11,13,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,5.421052632,5.909090909,,4,4,4,6,7,7,8,7,9,4,13,10,6,7,7,7,5,7,60,2,3,1,1,,0,1,20,1,19,0,23,0,4,1,4,0,5,2,0
,,,,F,,15,401,1,695285725,,4658a9b6-9fe9-438b-ae3d-965cf3ef0418,N,0,0,0,1,2,WBRI,0,Y,Y,Y,Y,10,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,4.615384615,4.393939394,,6,5,4,8,9,5,9,9,7,5,18,11,9,8,9,8,8,8,81,3,3,1,1,,2,0,27,1,26,2,26,2,6,2,6,1,5,1,0
,,,,F,,15,402,1,773545513,,74d996b7-ae42-49b4-a152-c408a0442c8b,N,1,0,1,1,2,MOTH,0,Y,,Y,,7,8,1,1,1,1,,,1,1,1,1,1,,1,1,,,1,,5.368421053,5.863636364,4,6,4,3,4,4,5,5,3,2,5,5,9,4,3,3,5,1,2,41,2,2,0,0,,-1,0,12,0,15,0,12,1,5,0,,,,,0
,,,,F,,15,401,0,804190559,,77dc6c3e-b75b-426c-a727-aac94afcf43c,N,0,0,0,1,4,AIND,0,Y,,Y,Y,11,11,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,,5.636363636,5,4,4,4,7,6,8,8,3,7,,10,17,8,8,8,8,8,7,81,3,3,,,,-1,0,26,-1,24,,23,4,7,-1,,,6,0,0
,,,,M,,15,401,1,672073523,,90f84052-83c4-49cc-beda-468ab24c53a7,N,1,0,1,1,2,WBRI,0,Y,Y,Y,,10,9,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,,5.157894737,4.484848485,5,4,4,3,5,3,1,3,6,5,4,9,7,7,2,1,5,4,6,56,3,3,0,1,,0,0,17,1,19,1,16,3,4,2,3,1,4,0,0
,,,,F,,15,401,1,706640012,,19ae42ae-1e39-4d0e-adc4-5a1151181277,K,0,0,1,1,2,WBRI,0,Y,Y,Y,Y,7,7,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,,4.769230769,4.96969697,4,5,5,5,5,6,7,7,4,3,5,12,14,4,7,8,7,4,4,67,2,2,0,0,,0,1,15,1,17,0,13,2,5,1,4,1,5,1,0
,,,,F,,15,401,1,728780912,,5b719b33-8ba2-49d8-8cc9-3a582d4b9765,N,0,0,0,2,2,MOTH,0,,,Y,,7,8,1,1,1,,1,,1,1,1,,,,,,1,1,1,,4.615384615,5.545454545,4,4,1,0,3,6,2,4,1,6,3,10,5,3,2,6,6,3,3,39,3,2,1,1,,1,0,11,1,13,2,3,5,,,,,3,0,0
,,,,M,,15,401,1,773153230,,87aa1f14-7c31-48f2-9c4c-98ac9472cafc,K,0,0,0,1,2,APKN,0,,,Y,,8,6,1,1,1,,,,1,,,,1,,1,,,,,,5.684210526,4.303030303,4,5,4,3,2,2,1,1,0,0,3,6,6,3,0,1,2,3,2,34,3,3,0,0,,1,0,6,0,4,0,2,3,2,0,,,,,0
,,,,M,,15,401,1,641265442,,95329c9c-54e7-4cd9-b0c7-4ccc1e41c41c,K,0,0,0,1,2,WBRI,0,Y,,Y,Y,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,4,5.136363636,5,5,5,5,3,5,5,3,7,2,5,9,8,3,3,4,4,2,3,42,2,2,0,0,,0,0,8,0,14,0,12,3,7,0,6,1,5,0,0
,,,,F,,15,401,1,749281196,,c8832cab-1f07-45f7-90c6-7266804a29d9,N,0,0,0,1,3,BAFR,0,Y,Y,Y,Y,11,12,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5.636363636,4,6,3,4,9,8,10,8,5,9,5,16,20,10,8,8,8,8,8,90,3,3,3,3,,3,3,28,4,26,3,26,0,7,4,,,5,2,0
,,,,F,,15,401,1,689096187,,3a4204a7-106f-4a0b-a2db-46e7fc963a51,N,0,0,0,1,4,APKN,0,Y,Y,,Y,9,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,4,4,3,2,6,8,6,6,8,10,5,14,9,7,7,7,7,6,5,61,3,3,0,0,,0,-1,20,0,16,0,18,2,,,7,0,6,0,0
,,,,F,,15,401,1,728293335,,67ddbd1b-ec16-4d3c-a313-c8ebba4e7637,K,1,0,1,1,3,WBRI,0,,,Y,,5,7,1,1,1,,,,1,,1,,,,,,,,,,5.105263158,4.545454545,,5,4,4,1,6,3,1,1,2,4,10,4,4,1,0,5,4,1,24,2,2,0,0,,0,0,7,0,10,0,7,2,3,0,,,4,0,0
,,,,M,,15,401,1,820269020,,db5a5a79-3c3d-4d92-afb8-cc8c2487210c,N,0,0,0,1,4,WBRI,0,Y,Y,Y,Y,12,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.526315789,5.590909091,5,5,5,5,8,9,7,7,6,5,5,18,20,9,7,7,7,8,8,89,3,3,1,1,,2,1,26,0,25,1,25,3,6,0,6,0,5,3,0
,,,,F,,15,401,1,768963293,,9bef0836-defc-469b-8f47-87071a1cfcdd,N,0,0,0,2,3,NOBT,0,,Y,Y,,8,8,1,1,1,1,1,1,1,1,1,,1,,1,1,,,,,4.923076923,5.181818182,4,6,4,4,4,5,2,5,6,4,5,13,7,4,5,3,4,5,4,51,2,3,0,0,,1,-1,9,-1,12,-1,12,3,6,-1,6,-1,5,-2,0
,,,,M,,15,401,1,819225149,,9cebc2d0-649e-489b-b36d-7b20d217cb0e,N,0,0,0,1,2,APKN,0,,,,,6,6,1,1,1,1,,,,,1,,,1,,,,,,,5.473684211,4.818181818,4,6,4,4,4,7,6,3,2,3,5,14,12,3,4,2,5,5,3,47,2,2,0,0,,0,1,11,0,15,0,16,1,5,1,4,-1,4,0,0
,,,,M,,15,401,1,740352326,,2e14b8e1-f095-4a03-8304-d2a38eb98838,K,0,0,0,2,3,CHNE,0,Y,Y,Y,Y,10,8,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,5.526315789,5.454545455,6,4,3,3,7,6,4,7,6,7,4,16,15,9,8,7,8,8,4,83,3,3,2,2,,3,1,25,3,24,2,22,1,3,2,3,2,4,2,0
,,,,F,,15,401,1,713758461,,96e4580a-a71b-4a57-8cb3-3222c9aba277,N,0,0,0,1,3,APKN,0,Y,,Y,Y,9,11,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,,5.157894737,5.363636364,4,6,3,3,6,8,7,8,8,2,5,15,14,6,8,8,8,8,6,75,3,3,0,0,,0,0,22,0,21,0,24,0,5,1,3,0,5,1,0
,,,,F,,15,401,1,817574334,,174c1c63-a069-4c0e-9c6e-ba9e20c4cd91,N,0,0,0,1,2,WBRI,0,,,,,10,6,1,1,1,1,,,1,,1,,,,,,,,,,5.210526316,4.03030303,,6,3,2,6,5,4,6,1,0,3,13,15,7,6,4,7,5,6,68,3,3,0,0,,0,1,20,0,20,0,18,7,2,0,1,0,,,0
,,,,F,,15,401,1,686095208,,7331785e-66b4-40a2-b8de-03bfeb97c316,N,0,0,0,1,3,WOTH,0,Y,Y,Y,Y,8,9,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,1,,5.368421053,,,6,3,4,6,7,8,5,5,4,5,14,14,6,4,5,8,7,4,68,2,2,1,1,,2,1,18,0,19,1,22,0,6,1,,,,,0
,,,,F,,15,401,1,689350116,,14187ee7-5f1e-424f-bf10-e07e2144dfec,K,0,0,0,1,3,WBRI,0,Y,Y,,,8,7,1,1,1,1,,,1,1,,,1,,1,1,,1,1,,4.846153846,5.181818182,4,4,3,3,2,5,2,3,3,1,5,10,5,3,2,1,4,3,4,41,2,3,-2,-2,,-1,-3,7,-2,12,-1,8,4,5,-2,,,,,0
,,,,M,,15,401,1,814964741,,2b0fc3d6-b5be-4033-b656-de5d38ad5a1c,N,1,0,1,1,3,WBRI,0,,,Y,Y,8,6,1,1,1,1,,,1,1,1,1,1,,1,1,,,,,5.263157895,5.681818182,5,5,5,5,6,8,3,2,6,0,5,17,12,6,4,4,5,5,6,71,3,3,0,0,,0,-1,18,0,21,0,21,3,5,-1,5,0,,,0
,,,,M,,15,401,1,802072090,,114f1a64-c8a0-4b25-be26-2baea25490d6,N,0,0,0,1,4,WBRI,0,Y,Y,Y,Y,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,5.590909091,5,1,3,3,5,2,8,5,7,2,4,2,17,7,4,3,5,3,4,53,3,3,0,0,,-2,1,18,0,13,0,8,4,4,0,4,0,,,0
